DATE,ACCT,DESC,Category,Amount
06/05/2020,CHASE,Amazon.com*MY36P0P20,GROCERIES,-$23.97
06/05/2020,CHASE,Amazon.com*MY06P9P20,AMAZON,-$25.49
06/05/2020,CHASE,AMZN Mktp US*MY7WA8PW0,AMAZON,-$5.28
06/05/2020,CHASE,TARGET.COM *,TARGET,-$7.98
06/06/2020,CHASE,Amazon.com,AMAZON,$16.58
06/06/2020,CHASE,AMZN Mktp US*MY3F39GU0,AMAZON,-$62.38
06/07/2020,CHASE,AMZN Mktp US*MY3BU2ML0,PAULA,-$30.74
06/07/2020,CHASE,Amazon.com*MY7BU4ML0,GROCERIES,-$14.08
06/07/2020,CHASE,AMZN Mktp US*MY9YW5E52,PAULA,-$26.49
06/07/2020,CHASE,AMZN Mktp US*MY92Z7M70,PAULA,-$135.02
06/08/2020,CHASE,AMZN Mktp US*MY3CC8SV1,AMAZON,-$48.35
06/08/2020,CHASE,Amazon.com*MY9UF71V2,AMAZON,-$100.00
06/09/2020,CHASE,WALMART.COM,PAPER TOWELS,-$69.64
06/09/2020,CHASE,Amazon.com*MY2ZR99I1,AMAZON,-$30.42
06/12/2020,CHASE,AMZN Mktp US*MY9TW8602,MORTGAGE_CREDIT,-$22.24
06/13/2020,CHASE,Amazon.com*MY1OI7KD2,AMAZON,-$15.73
06/14/2020,CHASE,AMZN Mktp US*MY8NI6YQ0,GROCERIES,-$199.45
06/15/2020,CHASE,Amazon.com*MY3OX9WZ2,AMAZON,-$10.59
06/16/2020,CHASE,Amazon.com,AMAZON,$30.42
06/16/2020,CHASE,Amazon Tips*MS4VU0JJ1,GROCERIES,-$5.00
06/16/2020,CHASE,AMZN Mktp US*MS8C25361,AMAZON,-$52.35
06/16/2020,CHASE,AMZN Mktp US*MS32183B1,AMAZON,-$139.37
06/17/2020,CHASE,AMZN Mktp US*MS47R7EJ1,AMAZON,-$18.01
06/17/2020,CHASE,AMZN Mktp US*MS5IV6JX0,AMAZON,-$26.99
06/17/2020,CHASE,Amazon.com*MS8AO64X2,AMAZON,-$65.71
06/17/2020,CHASE,Amazon.com*MS32I03X0,AMAZON,-$81.05
